,id_str,created_at,text_tweet,text_concept,truncated,retweet_count,type,in_reply_to_status_id_str,in_reply_to_user_id_str
60,1207444200847020033,Wed Dec 18 23:35:05 +0000 2019,"The proportion of women migrants has ⬇️ in Seychelles and ⬆️ in Germany. What about your country?
Explore the #WomenCount #WomensProgress2019 data dashboard to find out: https://t.co/jqnguxJz40 #MigrantsDay https://t.co/lh9nljIPaI",womencount,True,19,hashtag,,
61,1207444200847020033,Wed Dec 18 23:35:05 +0000 2019,"The proportion of women migrants has ⬇️ in Seychelles and ⬆️ in Germany. What about your country?
Explore the #WomenCount #WomensProgress2019 data dashboard to find out: https://t.co/jqnguxJz40 #MigrantsDay https://t.co/lh9nljIPaI",womensprogress2019,True,19,hashtag,,
62,1207444200847020033,Wed Dec 18 23:35:05 +0000 2019,"The proportion of women migrants has ⬇️ in Seychelles and ⬆️ in Germany. What about your country?
Explore the #WomenCount #WomensProgress2019 data dashboard to find out: https://t.co/jqnguxJz40 #MigrantsDay https://t.co/lh9nljIPaI",migrantsday,True,19,hashtag,,
63,1207398899532681219,Wed Dec 18 20:35:04 +0000 2019,"We.
Love.
Play.
Sing.
Work.
Learn.
Create.
Together.

#MigrantsDay #WeTogether
v @UNmigration https://t.co/fKFB3IVXkj",,False,47,,,
64,1207391046646284289,Wed Dec 18 20:03:52 +0000 2019,"RT @UNmigration: We 🤝 together.
We 🎓 together.
We 🎵 together.
We 🎙️ together.
We ♥️ together.
We 🎨 together.
We 💃 together.
We 📝 together.…",,False,0,,,
65,1207372929442439173,Wed Dec 18 18:51:52 +0000 2019,10 Powerful Tweets By Celebrities Against CAA And Why We Need More https://t.co/E0FA5L8aLy https://t.co/CER2ItLYZP,,False,5,,,
66,1207371266556080130,Wed Dec 18 18:45:16 +0000 2019,How You Can Build Better Workplaces https://t.co/8buRX1OGp7 https://t.co/Xky3XVYkc2,,False,0,,,
67,1207370162896351233,Wed Dec 18 18:40:53 +0000 2019,Why Are Feminists Opposing The Citizenship Amendment Act? https://t.co/kySZZuOhST https://t.co/JbbeZ7vrGL,,False,0,,,
68,1207368728536592387,Wed Dec 18 18:35:11 +0000 2019,Here Are 8 Young Women MPs Who Made News In 2019 https://t.co/m4Z1Nar66j https://t.co/qEdhmu8tfx,,False,1,,,
69,1207353602634928129,Wed Dec 18 17:35:05 +0000 2019,"This is Anis.

When she was a student she decided that she wanted to better the conditions of Indonesian migrant workers. 

This #MigrantsDay, find out how she did just that: https://t.co/RuyA9CDBsq #WomensProgress2019 https://t.co/chnAd7FymJ",migrantsday,True,67,hashtag,,
70,1207353602634928129,Wed Dec 18 17:35:05 +0000 2019,"This is Anis.

When she was a student she decided that she wanted to better the conditions of Indonesian migrant workers. 

This #MigrantsDay, find out how she did just that: https://t.co/RuyA9CDBsq #WomensProgress2019 https://t.co/chnAd7FymJ",womensprogress2019,True,67,hashtag,,
71,1207352325230256128,Wed Dec 18 17:30:00 +0000 2019,"Protests against the #CitizenshipAmendmentAct are emerging across the country.  @HamsadhwaniA tells us how #Chennai raised its voice against the Act and the #PoliceViolence that followed.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence

https://t.co/IfL0XFERoc",citizenshipamendmentact,True,0,hashtag,,
72,1207352325230256128,Wed Dec 18 17:30:00 +0000 2019,"Protests against the #CitizenshipAmendmentAct are emerging across the country.  @HamsadhwaniA tells us how #Chennai raised its voice against the Act and the #PoliceViolence that followed.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence

https://t.co/IfL0XFERoc",chennai,True,0,hashtag,,
