created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Tue Dec 17 23:35:02 +0000 2019,1207081800763396098,"H  I                               😃
A  I                             ╱
P  I                         ╱
P  I                     ╱
I   I                 ╱
N I             ╱
E  I         ╱
S  I     ╱
S  I ╱
    I_________________________
Progress on gender equality",True,,,,401,,,,en
Tue Dec 17 22:35:04 +0000 2019,1207066708567109632,"🎶
We are One Woman,
You cry and I hear you.
We are One Woman,
You hurt, and I hurt, too.
We are One Woman,
Your hopes are mine.
We shall shine.
🎶
Listen to our song for some #GenerationEquality inspiration: https://t.co/p1cHiXMAqf https://t.co/RWvD9PV34n",True,,,,143,,,,en
Tue Dec 17 20:45:50 +0000 2019,1207039221996949505,"RT @wef: One year ago, it was calculated that it would take 108 years to close the global gender gap. How long do you think it will take no…",False,,,,0,,,,en
Tue Dec 17 20:35:03 +0000 2019,1207036505576935425,"#MeToo 

The two words that shook the world in a newfound way and united women everywhere to share their experiences.

Hear more from @TaranaBurke via @MAKERSwomen 
https://t.co/CCcccKuglU",True,,,,75,,,,en
Tue Dec 17 20:14:34 +0000 2019,1207031353692344320,"RT @GlobalSpotlight: In case you missed it!
Around the world, @GlobalSpotlight and its partners organized activities with young people to r…",False,,,,0,,,,en
Tue Dec 17 18:46:10 +0000 2019,1207009105770139654,Film Review: Fire —On Queering Love And Beyond https://t.co/Q56wuv7kW9 https://t.co/E1rFwxb2Qx,False,,,,5,,,,en
Tue Dec 17 18:41:05 +0000 2019,1207007825429454849,Protests Erupt Against CAA And The Violence Against Students In India https://t.co/OefGMMsRYv https://t.co/lU87EkP4Hb,False,,,,3,,,,en
Tue Dec 17 18:35:17 +0000 2019,1207006368303071232,In Photos: #CABProtests In Jantar Mantar And India Gate https://t.co/uSxS1JMSRy https://t.co/kxPYyJorpw,False,,,,2,,,,en
Tue Dec 17 18:00:40 +0000 2019,1206997656876142592,RT @SumedhaChaudhur: Breast Shaming: Society's Ironic Obsession With Boobs https://t.co/rBVldBymVg via @FeminismInIndia,False,,,,0,,,,en
Tue Dec 17 18:00:14 +0000 2019,1206997545320251394,RT @danwibg: Breast Shaming: Society’s Ironic Obsession With Boobs https://t.co/dhTYJBNIOA via @FeminismInIndia #India,False,,,,0,,,,en
Tue Dec 17 18:00:12 +0000 2019,1206997535606226944,RT @danwibg: Exclusion In Education: Whose Campus Is It Anyway? https://t.co/MCfoPzlEhT via @FeminismInIndia #India,False,,,,0,,,,en
Tue Dec 17 17:35:04 +0000 2019,1206991214286954498,"Women, men and their families migrate for many different reasons.

Learn more this #MigrantsDay in #WomensProgress2019: https://t.co/GCagSQBq9P #FamiliesOfToday https://t.co/f4AmKjd2m7",True,,,,83,,,,en
Tue Dec 17 17:30:00 +0000 2019,1206989936135671809,"""If we do not speak up now, the country will suffer structural changes that will subject its people to a grave state of mock #democracy ."" - @The_Silly_Wonka 

#IndiaRejectsNRC #IndiaRejectsCAA #IndiaAgainstViolence 

https://t.co/AAitld2PhH",True,,,,3,,,,en
Tue Dec 17 16:30:00 +0000 2019,1206974836737744901,"Does our #educationsystem reinforce structural discrimination?

https://t.co/pe0EWLusWy",False,,,,0,,,,en
Tue Dec 17 16:27:20 +0000 2019,1206974167054213120,"RT @UN_Women: .

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.

.
.

.

.…",False,,,,0,,,,en
Tue Dec 17 15:30:00 +0000 2019,1206959738216271872,"""Too small, too big, saggy, asymmetrical or too judgy. Carrying a mass on your chest and holding it by a belt tied to your back or even letting it free is a tough job."" - @Astha25646794

#BreastShaming #BodyPositivity
#BodyShaming 

https://t.co/o28T8mwokM",True,,,,1,,,,en
Tue Dec 17 15:17:23 +0000 2019,1206956562939596800,"RT @UN: Women's rights = Human Rights

Yet, women and girls around the globe face multiple forms of discrimination. More from @UN_Women on…",False,,,,0,,,,en
